KODE_INSTANSI;NAMA_INSTANSI;TINGKAT;NAMA_FORMASI;JENJANG
PEMKAB-KABTASIKMALAYA;Pemerintah Kabupaten Tasikmalaya;daerah;;
PEMKOT-KOTABANDUNG;Pemerintah Kota Bandung;daerah;;
PEMKOT-KOTABANJAR;Pemerintah Kota Banjar;daerah;;
PEMKOT-KOTABEKASI;Pemerintah Kota Bekasi;daerah;;
PEMKOT-KOTABOGOR;Pemerintah Kota Bogor;daerah;;
PEMKOT-KOTACIMAHI;Pemerintah Kota Cimahi;daerah;;
PEMKOT-KOTACIREBON;Pemerintah Kota Cirebon;daerah;;
PEMKOT-KOTADEPOK;Pemerintah Kota Depok;daerah;;
PEMKOT-KOTASUKABUMI;Pemerintah Kota Sukabumi;daerah;;
PEMKOT-KOTATASIKMALAYA;Pemerintah Kota Tasikmalaya;daerah;;
PEMPROV-JAWATENGAH;Pemerintah Provinsi Jawa Tengah;daerah;;
PEMKAB-KABBANJARNEGARA;Pemerintah Kabupaten Banjarnegara;daerah;;
PEMKAB-KABBANYUMAS;Pemerintah Kabupaten Banyumas;daerah;;
PEMKAB-KABBATANG;Pemerintah Kabupaten Batang;daerah;;
PEMKAB-KABBLORA;Pemerintah Kabupaten Blora;daerah;;
PEMKAB-KABBOYOLALI;Pemerintah Kabupaten Boyolali;daerah;;
PEMKAB-KABBREBES;Pemerintah Kabupaten Brebes;daerah;;
PEMKAB-KABCILACAP;Pemerintah Kabupaten Cilacap;daerah;;
PEMKAB-KABDEMAK;Pemerintah Kabupaten Demak;daerah;;
PEMKAB-KABGROBOGAN;Pemerintah Kabupaten Grobogan;daerah;;
PEMKAB-KABJEPARA;Pemerintah Kabupaten Jepara;daerah;;
PEMKAB-KABKARANGANYAR;Pemerintah Kabupaten Karanganyar;daerah;;
PEMKAB-KABKEBUMEN;Pemerintah Kabupaten Kebumen;daerah;;
PEMKAB-KABKENDAL;Pemerintah Kabupaten Kendal;daerah;;
PEMKAB-KABKLATEN;Pemerintah Kabupaten Klaten;daerah;;
PEMKAB-KABKUDUS;Pemerintah Kabupaten Kudus;daerah;;
PEMKAB-KABMAGELANG;Pemerintah Kabupaten Magelang;daerah;;
PEMKAB-KABPATI;Pemerintah Kabupaten Pati;daerah;;
PEMKAB-KABPEKALONGAN;Pemerintah Kabupaten Pekalongan;daerah;;
PEMKAB-KABPEMALANG;Pemerintah Kabupaten Pemalang;daerah;;
PEMKAB-KABPURBALINGGA;Pemerintah Kabupaten Purbalingga;daerah;;
PEMKAB-KABPURWOREJO;Pemerintah Kabupaten Purworejo;daerah;;
PEMKAB-KABREMBANG;Pemerintah Kabupaten Rembang;daerah;;
PEMKAB-KABSEMARANG;Pemerintah Kabupaten Semarang;daerah;;
PEMKAB-KABSRAGEN;Pemerintah Kabupaten Sragen;daerah;;
PEMKAB-KABSUKOHARJO;Pemerintah Kabupaten Sukoharjo;daerah;;
PEMKAB-KABTEGAL;Pemerintah Kabupaten Tegal;daerah;;
PEMKAB-KABTEMANGGUNG;Pemerintah Kabupaten Temanggung;daerah;;
PEMKAB-KABWONOGIRI;Pemerintah Kabupaten Wonogiri;daerah;;
PEMKAB-KABWONOSOBO;Pemerintah Kabupaten Wonosobo;daerah;;
PEMKOT-KOTAMAGELANG;Pemerintah Kota Magelang;daerah;;
PEMKOT-KOTAPEKALONGAN;Pemerintah Kota Pekalongan;daerah;;
PEMKOT-KOTASALATIGA;Pemerintah Kota Salatiga;daerah;;
PEMKOT-KOTASEMARANG;Pemerintah Kota Semarang;daerah;;
PEMKOT-KOTASURAKARTA;Pemerintah Kota Surakarta;daerah;;
PEMKOT-KOTATEGAL;Pemerintah Kota Tegal;daerah;;
PEMPROV-JAWATIMUR;Pemerintah Provinsi Jawa Timur;daerah;;
PEMKAB-KABBANGKALAN;Pemerintah Kabupaten Bangkalan;daerah;;
PEMKAB-KABBANYUWANGI;Pemerintah Kabupaten Banyuwangi;daerah;;
PEMKAB-KABBLITAR;Pemerintah Kabupaten Blitar;daerah;;
PEMKAB-KABBOJONEGORO;Pemerintah Kabupaten Bojonegoro;daerah;;
PEMKAB-KABBONDOWOSO;Pemerintah Kabupaten Bondowoso;daerah;;
PEMKAB-KABGRESIK;Pemerintah Kabupaten Gresik;daerah;;
PEMKAB-KABJEMBER;Pemerintah Kabupaten Jember;daerah;;
PEMKAB-KABJOMBANG;Pemerintah Kabupaten Jombang;daerah;;
PEMKAB-KABKEDIRI;Pemerintah Kabupaten Kediri;daerah;;
PEMKAB-KABLAMONGAN;Pemerintah Kabupaten Lamongan;daerah;;
PEMKAB-KABLUMAJANG;Pemerintah Kabupaten Lumajang;daerah;;
PEMKAB-KABMADIUN;Pemerintah Kabupaten Madiun;daerah;;
PEMKAB-KABMAGETAN;Pemerintah Kabupaten Magetan;daerah;;
PEMKAB-KABMALANG;Pemerintah Kabupaten Malang;daerah;;
PEMKAB-KABMOJOKERTO;Pemerintah Kabupaten Mojokerto;daerah;;
PEMKAB-KABNGANJUK;Pemerintah Kabupaten Nganjuk;daerah;;
PEMKAB-KABNGAWI;Pemerintah Kabupaten Ngawi;daerah;;
PEMKAB-KABPACITAN;Pemerintah Kabupaten Pacitan;daerah;;
PEMKAB-KABPAMEKASAN;Pemerintah Kabupaten Pamekasan;daerah;;
PEMKAB-KABPASURUAN;Pemerintah Kabupaten Pasuruan;daerah;;
PEMKAB-KABPONOROGO;Pemerintah Kabupaten Ponorogo;daerah;;
PEMKAB-KABPROBOLINGGO;Pemerintah Kabupaten Probolinggo;daerah;;
PEMKAB-KABSAMPANG;Pemerintah Kabupaten Sampang;daerah;;
PEMKAB-KABSIDOARJO;Pemerintah Kabupaten Sidoarjo;daerah;;
PEMKAB-KABSITUBONDO;Pemerintah Kabupaten Situbondo;daerah;;
PEMKAB-KABSUMENEP;Pemerintah Kabupaten Sumenep;daerah;;
PEMKAB-KABTRENGGALEK;Pemerintah Kabupaten Trenggalek;daerah;;
PEMKAB-KABTUBAN;Pemerintah Kabupaten Tuban;daerah;;
PEMKAB-KABTULUNGAGUNG;Pemerintah Kabupaten Tulungagung;daerah;;
PEMKOT-KOTABATU;Pemerintah Kota Batu;daerah;;
PEMKOT-KOTABLITAR;Pemerintah Kota Blitar;daerah;;
PEMKOT-KOTAKEDIRI;Pemerintah Kota Kediri;daerah;;
PEMKOT-KOTAMADIUN;Pemerintah Kota Madiun;daerah;;
PEMKOT-KOTAMALANG;Pemerintah Kota Malang;daerah;;
PEMKOT-KOTAMOJOKERTO;Pemerintah Kota Mojokerto;daerah;;
PEMKOT-KOTAPASURUAN;Pemerintah Kota Pasuruan;daerah;;
PEMKOT-KOTAPROBOLINGGO;Pemerintah Kota Probolinggo;daerah;;
PEMKOT-KOTASURABAYA;Pemerintah Kota Surabaya;daerah;;
PEMPROV-KALIMANTANBARAT;Pemerintah Provinsi Kalimantan Barat;daerah;;
PEMKAB-KABBENGKAYANG;Pemerintah Kabupaten Bengkayang;daerah;;
PEMKAB-KABKAPUASHULU;Pemerintah Kabupaten Kapuas Hulu;daerah;;
PEMKAB-KABKAYONGUTARA;Pemerintah Kabupaten Kayong Utara;daerah;;
PEMKAB-KABKETAPANG;Pemerintah Kabupaten Ketapang;daerah;;
PEMKAB-KABKUBURAYA;Pemerintah Kabupaten Kubu Raya;daerah;;
PEMKAB-KABLANDAK;Pemerintah Kabupaten Landak;daerah;;
PEMKAB-KABMELAWI;Pemerintah Kabupaten Melawi;daerah;;
PEMKAB-KABMEMPAWAH;Pemerintah Kabupaten Mempawah;daerah;;
PEMKAB-KABSAMBAS;Pemerintah Kabupaten Sambas;daerah;;
PEMKAB-KABSANGGAU;Pemerintah Kabupaten Sanggau;daerah;;
PEMKAB-KABSEKADAU;Pemerintah Kabupaten Sekadau;daerah;;
PEMKAB-KABSINTANG;Pemerintah Kabupaten Sintang;daerah;;
PEMKOT-KOTAPONTIANAK;Pemerintah Kota Pontianak;daerah;;
PEMKOT-KOTASINGKAWANG;Pemerintah Kota Singkawang;daerah;;
PEMPROV-KALIMANTANSELATAN;Pemerintah Provinsi Kalimantan Selatan;daerah;;
PEMKAB-KABBALANGAN;Pemerintah Kabupaten Balangan;daerah;;
PEMKAB-KABBANJAR;Pemerintah Kabupaten Banjar;daerah;;
PEMKAB-KABBARITOKUALA;Pemerintah Kabupaten Barito Kuala;daerah;;
PEMKAB-KABHULUSUNGAISELATAN;Pemerintah Kabupaten Hulu Sungai Selatan;daerah;;
PEMKAB-KABHULUSUNGAITENGAH;Pemerintah Kabupaten Hulu Sungai Tengah;daerah;;
PEMKAB-KABHULUSUNGAIUTARA;Pemerintah Kabupaten Hulu Sungai Utara;daerah;;
PEMKAB-KABKOTABARU;Pemerintah Kabupaten Kota Baru;daerah;;
PEMKAB-KABTABALONG;Pemerintah Kabupaten Tabalong;daerah;;
PEMKAB-KABTANAHBUMBU;Pemerintah Kabupaten Tanah Bumbu;daerah;;
PEMKAB-KABTANAHLAUT;Pemerintah Kabupaten Tanah Laut;daerah;;
PEMKAB-KABTAPIN;Pemerintah Kabupaten Tapin;daerah;;
PEMKOT-KOTABANJARBARU;Pemerintah Kota Banjar Baru;daerah;;
PEMKOT-KOTABANJARMASIN;Pemerintah Kota Banjarmasin;daerah;;
PEMPROV-KALIMANTANTENGAH;Pemerintah Provinsi Kalimantan Tengah;daerah;;
PEMKAB-KABBARITOSELATAN;Pemerintah Kabupaten Barito Selatan;daerah;;
PEMKAB-KABBARITOTIMUR;Pemerintah Kabupaten Barito Timur;daerah;;
PEMKAB-KABBARITOUTARA;Pemerintah Kabupaten Barito Utara;daerah;;
PEMKAB-KABGUNUNGMAS;Pemerintah Kabupaten Gunung Mas;daerah;;
PEMKAB-KABKAPUAS;Pemerintah Kabupaten Kapuas;daerah;;
PEMKAB-KABKATINGAN;Pemerintah Kabupaten Katingan;daerah;;
PEMKAB-KABKOTAWARINGINBARAT;Pemerintah Kabupaten Kotawaringin Barat;daerah;;
PEMKAB-KABKOTAWARINGINTIMUR;Pemerintah Kabupaten Kotawaringin Timur;daerah;;
PEMKAB-KABLAMANDAU;Pemerintah Kabupaten Lamandau;daerah;;
PEMKAB-KABMURUNGRAYA;Pemerintah Kabupaten Murung Raya;daerah;;
PEMKAB-KABPULANGPISAU;Pemerintah Kabupaten Pulang Pisau;daerah;;
PEMKAB-KABSERUYAN;Pemerintah Kabupaten Seruyan;daerah;;
PEMKAB-KABSUKAMARA;Pemerintah Kabupaten Sukamara;daerah;;
PEMKOT-KOTAPALANGKARAYA;Pemerintah Kota Palangka Raya;daerah;;
PEMPROV-KALIMANTANTIMUR;Pemerintah Provinsi Kalimantan Timur;daerah;;
PEMKAB-KABBERAU;Pemerintah Kabupaten Berau;daerah;;
PEMKAB-KABKUTAIBARAT;Pemerintah Kabupaten Kutai Barat;daerah;;
PEMKAB-KABKUTAIKARTANEGARA;Pemerintah Kabupaten Kutai Kartanegara;daerah;;
PEMKAB-KABKUTAITIMUR;Pemerintah Kabupaten Kutai Timur;daerah;;
PEMKAB-KABMAHAKAMHULU;Pemerintah Kabupaten Mahakam Hulu;daerah;;
PEMKAB-KABPASER;Pemerintah Kabupaten Paser;daerah;;
PEMKAB-KABPENAJAMPASERUTARA;Pemerintah Kabupaten Penajam Paser Utara;daerah;;
PEMKOT-KOTABALIKPAPAN;Pemerintah Kota Balikpapan;daerah;;
PEMKOT-KOTABONTANG;Pemerintah Kota Bontang;daerah;;
PEMKOT-KOTASAMARINDA;Pemerintah Kota Samarinda;daerah;;
